"State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Alabama","Baldwin","01","003","2017-01-01",21,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-04",22,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-10",19,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-13",30,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-16",16,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-19",19,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-22",29,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-25",18,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2017-01-28",24,"Good","PM2.5","01-003-0010",1
